Recipient,Total,Party,Chamber
"Johnson, Timothy",7000,Republican,House
"Joyce, David P",7500,Republican,House
"Salmon, Matt",10000,Republican,House
"Raye, Kevin",5000,Republican,House
"Brooks, Susan",5000,Republican,House
"Coors, Joe",15000,Republican,House
"Wagner, Ann L",12500,Republican,House
"Radel, Trey",16000,Republican,House
"Massie, Thomas",20000,Republican,House
"Wenstrup, Brad",16000,Republican,House
"Collins, Doug",10000,Republican,House
"Harris, Felicia",7500,Republican,House
"Yoho, Ted",5000,Republican,House
"Ducheny, Denise Moreno",5000,Democrat,House
"Pittenger, Robert",18500,Republican,House
"Fortenberry, Jeff",5000,Republican,House
"Holding, George",8000,Republican,House
"Sewell, Terri A",3000,Democrat,House
"Rice, Tom",3000,Republican,House
"Swalwell, Eric",2500,Democrat,House
"Wolf, Frank",3000,Republican,House
"Desjarlais, Scott",4500,Republican,House
"Fleischmann, Chuck",6000,Republican,House
"Ellmers, Renee",3500,Republican,House
"Bishop, Sanford",1000,Democrat,House
"Adams, Kirk",2500,Republican,House
"Enzi, Mike",2500,Republican,Senate
"Roberts, Pat",12500,Republican,Senate
"Tester, Jon",2500,Democrat,Senate
"Hasner, Adam",10000,Republican,House
"McIntosh, David M",5000,Republican,House
"Snuffer, Rick",5000,Republican,House
"Smith, Tom",5000,Republican,Senate
"Vela, Filemon",2000,Democrat,House
"Clarke, Hansen",1000,Democrat,House
"Rankin, Beth Anne",1000,Republican,House
"Graham, Lindsey",1000,Republican,Senate
"Bateman, Alan R",1000,Republican,House
"Romo, Sylvia S",2000,Democrat,House
"LoBiondo, Frank",1000,Republican,House
"Hall, Isadore",1000,Democrat,House
"Calderon, Ronald",1000,Democrat,House
"Berman, Howard L",1000,Democrat,House
"Williams, Michael",3500,Republican,House
"Lowenthal, Alan",1500,Democrat,House
"Jones, Elizabeth Ames",1000,Republican,Senate
"Truncale, Michael",2500,Republican,House
"Jackson, Mike",2000,Republican,House
"Hagan, Kay R",1000,Democrat,Senate
"Weprin, David I",1000,Democrat,House
"Pascrell, Bill Jr",1000,Democrat,House
