,Unnamed: 0,Unnamed: 0.1,name,fec_candidate_id,2010,2012,2014,2016,2018,2020,id,party
236,236,236,Robert Pittenger,H2NC09134,0.0,226906.35,475106.8,568610.0,730777.21,0.0,P000606,R
237,237,237,Stacey Plaskett,H2VI00082,0.0,0.0,1000.0,153349.52,211832.14,268574.64,P000610,D
238,238,238,Ted Poe,H4TX02108,252050.0,368700.0,369137.07,386710.44,138000.0,0.0,P000592,R
239,239,239,Bruce Poliquin,S2ME00158,0.0,5000.0,0.0,0.0,0.0,0.0,P000611,R
240,240,240,Jared Polis,H8CO02137,2000.0,1000.0,1000.0,0.0,0.0,0.0,P000598,D
241,241,241,Mike Pompeo,H0KS04051,294480.0,754250.0,1275282.96,906797.75,0.0,0.0,P000602,R
242,242,242,Tom Price,H4GA06087,938869.25,1201354.88,1195169.21,1332123.53,0.0,0.0,P000591,R
243,243,243,Amata Radewagen,H4AS00036,0.0,5000.0,0.0,13457.95,35900.0,21400.0,R000600,R
244,244,244,Dave Reichert,H4WA08071,1183188.84,795680.0,713890.89,1000029.5,116500.0,0.0,R000578,R
245,245,245,Jim Renacci,H0OH16097,378880.0,1548882.41,1153238.17,1399418.29,0.0,0.0,R000586,R
246,246,246,Dana Rohrabacher,H8CA42061,98350.0,62325.0,29975.0,46357.0,344189.07,0.0,R000409,R
